Date,number of piles,daily rate per machine
14-Feb-22,2,0.4
15-Feb-22,2,0.4
16-Feb-22,2,0.4
17-Feb-22,1,0.2
18-Feb-22,3,0.6
19-Feb-22,0,0
20-Feb-22,2,0.4
21-Feb-22,2,0.4
22-Feb-22,3,0.6
23-Feb-22,2,0.4
24-Feb-22,4,0.8
26-Feb-22,3,0.6
27-Feb-22,3,0.6
28-Feb-22,3,0.6
1-Mar-22,3,0.6
2-Mar-22,2,0.4
3-Mar-22,0,0
4-Mar-22,4,0.8
5-Mar-22,4,0.8
6-Mar-22,3,0.6
7-Mar-22,3,0.6
8-Mar-22,4,0.8
9-Mar-22,5,1
10-Mar-22,2,0.4
11-Mar-22,1,0.2
12-Mar-22,3,0.6
13-Mar-22,4,0.8
14-Mar-22,5,1
15-Mar-22,4,0.8
16-Mar-22,5,1
17-Mar-22,4,0.8
18-Mar-22,4,0.8
19-Mar-22,4,0.8
20-Mar-22,4,0.8
21-Mar-22,3,0.6
22-Mar-22,3,0.6
23-Mar-22,5,1
24-Mar-22,3,0.6
25-Mar-22,4,0.8
26-Mar-22,3,0.6
27-Mar-22,5,1
28-Mar-22,5,1
29-Mar-22,5,1
30-Mar-22,2,0.4
31-Mar-22,5,1
1-Apr-22,2,0.4
2-Apr-22,1,0.2
3-Apr-22,3,0.6
4-Apr-22,2,0.4
5-Apr-22,5,1
6-Apr-22,3,0.6
7-Apr-22,3,0.6
8-Apr-22,3,0.6
9-Apr-22,4,0.8
10-Apr-22,3,0.6
11-Apr-22,4,0.8
12-Apr-22,4,0.8
13-Apr-22,4,0.8
14-Apr-22,3,0.6
15-Apr-22,3,0.6
16-Apr-22,4,0.8
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
