Date,number of piles,daily rate per machine
15-Jul,4,1.333333333
16-Jul,4,1.333333333
17-Jul,5,1.666666667
18-Jul,0,0
19-Jul,0,0
20-Jul,0,0
21-Jul,0,0
22-Jul,0,0
23-Jul,0,0
24-Jul,2,0.666666667
25-Jul,3,1
26-Jul,4,1.333333333
27-Jul,4,1.333333333
28-Jul,5,1.666666667
29-Jul,3,1
30-Jul,2,0.666666667
31-Jul,4,1.333333333
1-Aug,2,0.666666667
2-Aug,3,1
3-Aug,3,1
4-Aug,3,1
5-Aug,1,0.333333333
6-Aug,1,0.333333333
7-Aug,4,1.333333333
8-Aug,4,1.333333333
9-Aug,4,1.333333333
10-Aug,3,1
11-Aug,4,1.333333333
12-Aug,5,1.666666667
13-Aug,2,0.666666667
14-Aug,4,1.333333333
15-Aug,5,1.666666667
16-Aug,3,1
17-Aug,5,1.666666667
18-Aug,4,1.333333333
19-Aug,3,1
20-Aug,2,0.666666667
21-Aug,4,1.333333333
22-Aug,4,1.333333333
23-Aug,3,1
24-Aug,5,1.666666667
25-Aug,4,1.333333333
26-Aug,4,1.333333333
27-Aug,2,0.666666667
28-Aug,4,1.333333333
29-Aug,5,1.666666667
30-Aug,2,0.666666667
31-Aug,4,1.333333333
1-Sep,3,1
2-Sep,2,0.666666667
3-Sep,2,0.666666667
4-Sep,1,0.333333333
5-Sep,0,0
6-Sep,0,0
7-Sep,3,1
8-Sep,2,0.666666667
9-Sep,4,1.333333333
10-Sep,2,0.666666667
11-Sep,3,1
12-Sep,3,1
13-Sep,3,1
14-Sep,2,0.666666667
15-Sep,1,0.333333333
16-Sep,4,1.333333333
17-Sep,2,0.666666667
18-Sep,3,1
19-Sep,3,1
20-Sep,4,1.333333333
21-Sep,3,1
22-Sep,4,1.333333333
23-Sep,4,1.333333333
24-Sep,2,0.666666667
25-Sep,3,1
26-Sep,4,1.333333333
27-Sep,4,1.333333333
28-Sep,5,1.666666667
29-Sep,2,0.666666667
30-Sep,5,1.666666667
1-Oct,2,0.666666667
2-Oct,4,1.333333333
3-Oct,5,1.666666667
4-Oct,4,1.333333333
5-Oct,4,1.333333333
6-Oct,4,1.333333333
7-Oct,2,0.666666667
8-Oct,1,0.333333333
9-Oct,4,1.333333333
10-Oct,3,1
11-Oct,2,0.666666667
12-Oct,3,1
13-Oct,1,0.333333333
14-Oct,3,1
15-Oct,2,0.666666667
16-Oct,4,1.333333333
17-Oct,4,1.333333333
18-Oct,2,0.666666667
19-Oct,5,1.666666667
20-Oct,4,1.333333333
21-Oct,2,0.666666667
22-Oct,3,1
23-Oct,0,0
24-Oct,2,0.666666667
25-Oct,2,0.666666667
26-Oct,1,0.333333333
27-Oct,3,1
28-Oct,2,0.666666667
29-Oct,1,0.333333333
30-Oct,2,0.666666667
31-Oct,3,1
1-Nov,2,0.666666667
2-Nov,2,0.666666667
3-Nov,3,1
4-Nov,1,0.333333333
5-Nov,2,0.666666667
6-Nov,2,0.666666667
7-Nov,3,1
8-Nov,3,1
9-Nov,1,0.333333333
10-Nov,1,0.333333333
11-Nov,1,0.333333333
12-Nov,2,0.666666667
13-Nov,4,1.333333333
14-Nov,3,1
15-Nov,3,1
16-Nov,4,1.333333333
17-Nov,4,1.333333333
18-Nov,2,0.666666667
19-Nov,2,0.666666667
20-Nov,3,1
21-Nov,4,1.333333333
22-Nov,4,1.333333333
23-Nov,4,1.333333333
24-Nov,4,1.333333333
25-Nov,3,1
26-Nov,2,0.666666667
27-Nov,4,1.333333333
28-Nov,2,0.666666667
29-Nov,1,0.333333333
30-Nov,4,1.333333333
1-Dec,5,1.666666667
2-Dec,3,1
3-Dec,1,0.333333333
4-Dec,3,1
5-Dec,4,1.333333333
6-Dec,3,1
7-Dec,3,1
8-Dec,0,0
9-Dec,4,1.333333333
10-Dec,2,0.666666667
11-Dec,4,1.333333333
12-Dec,3,1
13-Dec,3,1
14-Dec,2,0.666666667
15-Dec,3,1
16-Dec,2,0.666666667
17-Dec,1,0.333333333
18-Dec,3,1
19-Dec,3,1
20-Dec,0,0
21-Dec,2,0.666666667
22-Dec,1,0.333333333
23-Dec,1,0.333333333
24-Dec,1,0.333333333
25-Dec,1,0.333333333
26-Dec,1,0.333333333
27-Dec,2,0.666666667
28-Dec,3,1
29-Dec,3,1
